1,0827229534,0804215715,156101074X,0687023955,0687074231,082721619X
2,0738700797,0738700827,1567184960,1567182836,0738700525,0738700940
3,0486287785
4,0842328327,0842328130,0830818138,0842330313,0842328610,0842328572
5,1577943082,157794349X,0892749504,1577941829,0892749563,1577946006
6,0486220125,0486401960,0452283612,0486229076,0714840343,0374528993
7,B00000AU3R,B00002616C,B0000261KX,B00006AM8D,B000059OB9,B0000261O7
8,0231118597,B000067D0Y,0375727191,080148605X,1560232579,0300089023
9,1859677800
10,0375709363,039474067X,0679730672,0679750541,1400030668,0896086704
