asin	total	downloaded	avg_rating
0827229534	2	2	5
0738700797	12	12	4.5
0486287785	1	1	5
0842328327	1	1	4
1577943082	0	0	0
0486220125	17	17	4
B00000AU3R	3	3	4.5
0231118597	15	15	4.5
1859677800	0	0	0
0375709363	6	6	4
0871318237	1	1	5
1590770218	12	12	4.5
0313230269	0	0	0
B00004W1W1	0	0	0
1559362022	8	8	4
0195110382	10	10	4.5
0849311012	3	3	3.5
B000007R0T	15	15	5
078510870X	8	8	3.5
3895780812	1	1	5
0790747324	140	140	4.5
B00005NTSV	4	4	4.5
0393049388	3	3	3
0553525476	2	2	4.5
0939165252	2	2	3.5
1590930509	1	1	4
0231096704	2	2	3
1893732290	0	0	0
0781718791	0	0	0
0471150274	0	0	0
0895872218	2	2	5
0761116982	11	11	4.5
0439240751	4	4	5
B000002O8D	6	6	4
0618111212	5	5	4.5
1898630038	0	0	0
B000056PNC	7	7	3.5
0787950599	3	3	4.5
0312199406	22	22	3.5
1573221740	8	8	5
0130132543	0	0	0
B000056PNB	24	24	4.5
0486268780	2	2	4.5
B000056PNE	13	13	4
1861007418	4	4	4
0826449379	0	0	0
0590568833	10	10	5
0439420717	0	0	0
B00004W1WI	0	0	0
B00004W1WK	1	1	5
0687054532	7	7	4
0875420532	6	6	4.5
0944708498	1	1	5
0613100093	4	4	5
0486275035	1	1	4
1550416243	0	0	0
0398068917	1	1	1
087842461X	0	0	0
6303360041	5	5	4
0393971694	2	2	5
1550373080	0	0	0
0026879077	0	0	0
0966723821	4	4	5
0689846088	6	6	3
0273651870	0	0	0
0393037622	4	4	4
1571515429	1	1	5
0810114275	1	1	5
0415925398	0	0	0
0415223954	0	0	0
B0000060T5	2	2	5
157281196X	3	3	5
0375803394	2	2	4
0113300174	2	2	4
0786863919	9	9	4.5
1581150040	2	2	3.5
0312982178	11	11	4.5
0874850037	3	3	4.5
0811726371	12	12	4.5
1884997015	1	1	5
6304286961	167	167	4
0140430407	4	4	5
059516630X	0	0	0
B000063W82	14	14	4.5
0912500476	0	0	0
0807205249	4	4	5
0415157528	2	2	3.5
039802278X	0	0	0
B00005ARCQ	0	0	0
0671727737	46	46	4.5
1566913810	2	2	3.5
037575380X	7	7	4.5
0965740056	0	0	0
039572774X	15	15	4
0887402631	0	0	0
0310485002	21	21	4
042515517X	5	5	4
B0000646IJ	7	7	4.5
0071402306	0	0	0
0787958743	0	0	0
