asin,date,customer_id,rating,votes,helpful
0827229534,2000-7-28,A2JW67OY8U6HHK,5,10,9
0827229534,2003-12-14,A2VE83MZF98ITY,5,6,5
0738700797,2001-12-16,A11NCO6YTE4BTJ,5,5,4
0738700797,2002-1-7,A9CQ3PLRNIR83,4,5,5
0738700797,2002-1-24,A13SG9ACZ9O5IM,5,8,8
0738700797,2002-1-28,A1BDAI6VEYMAZA,5,4,4
0738700797,2002-2-6,A2P6KAWXJ16234,4,16,16
0738700797,2002-2-14,AMACWC3M7PQFR,4,5,5
0738700797,2002-3-23,A3GO7UV9XX14D8,4,6,6
0738700797,2002-5-23,A1GIL64QK68WKL,5,8,8
0738700797,2003-2-25,AEOBOF2ONQJWV,5,8,5
0738700797,2003-11-25,A3IGHTES8ME05L,5,5,5
0738700797,2004-2-11,A1CP26N8RHYVVO,1,13,9
0738700797,2005-2-7,ANEIANH0WAT9D,5,1,1
0486287785,2003-7-10,A3IDGASRQAW8B2,5,2,2
0842328327,2004-8-19,A2591BUPXCS705,4,1,1
0486220125,1997-7-4,ATVPDKIKX0DER,5,12,11
0486220125,1998-10-11,AUEZ7NVOEHYRY,5,13,12
0486220125,1999-4-15,ATVPDKIKX0DER,5,18,7
0486220125,2000-1-4,AJYG6ZJUQPZ9M,4,14,10
0486220125,2000-2-8,A2ESGJTTLJWIAK,5,17,11
0486220125,2000-4-28,A2CHULHAO3A9BY,5,23,16
0486220125,2001-10-9,A3BNWP7ATVP045,5,7,6
0486220125,2002-9-26,AVOQ12GBXJ3F,2,6,0
0486220125,2002-11-8,A2NJO6YE954DBH,5,23,21
0486220125,2002-12-4,A393PYR83LT7R8,1,8,8
0486220125,2003-4-21,AVY10FEFM6OBC,4,7,1
0486220125,2003-7-24,A2OSPW11FVXTU6,4,3,2
0486220125,2003-10-10,A32Z5HQGTG5V49,4,7,4
0486220125,2003-10-21,A2WSI8HOWHFDOT,5,27,25
0486220125,2003-10-26,A3BGC9MSXGM0WH,4,13,10
0486220125,2003-12-30,A1IU7S4HCK1XK0,5,4,4
0486220125,2004-5-1,A30JTDN020MAJB,4,4,4
B00000AU3R,2000-5-22,A2O3PW57IFNUHV,5,10,10
B00000AU3R,2002-8-19,A3FNRL9QYZOBDH,4,0,0
B00000AU3R,2003-5-15,A3SWAHVVHVPKWZ,5,5,5
0231118597,2000-10-31,A2F1X6YFCJZ1FH,5,10,9
0231118597,2000-11-1,A1OZQCZAK21S6M,5,13,12
0231118597,2000-11-19,AL5D52NA8F67F,5,16,13
0231118597,2001-4-16,AVFBIM1W41IXO,1,0,0
0231118597,2001-5-10,A3I6SOXDIE0M8R,5,6,6
0231118597,2001-7-1,A3559TE3F9RRNL,5,5,5
0231118597,2001-8-25,ASPUU0H77LFXG,5,3,3
0231118597,2001-9-13,A3L902U49A6X5K,5,6,6
0231118597,2001-10-25,AL5OEDM8TPTKV,5,10,10
0231118597,2001-11-3,A1R64WON03GTN4,5,1,1
0231118597,2001-12-24,A2WKESDGF2YC8S,5,8,8
0231118597,2001-12-31,A71P2O8OMF8GY,5,7,5
0231118597,2002-4-9,AB8HLDYSDI5M7,4,10,4
0231118597,2002-9-23,A37FDCXZLI0MAC,2,12,5
0231118597,2003-9-3,AQE41QO3NEUMW,5,3,2
0375709363,2000-10-8,A2RI73IFW2GWU1,4,12,7
0375709363,2001-5-4,A1GE54WF2WUZ2X,5,11,8
0375709363,2001-8-27,A36S399V1VC4DR,4,5,3
0375709363,2002-1-26,A280GY5UVUS2QH,3,12,7
0375709363,2004-4-7,A2YHZJIU4L4IOI,4,10,2
0375709363,2004-4-27,A1MB83EO48TRSC,4,5,3
